year,position,points,name
2020,1,573,Mercedes
2020,6,131,Ferrari
2020,3,202,McLaren
2020,4,195,"Racing Point"
2020,7,107,AlphaTauri
2020,5,181,Renault
2020,8,8,"Alfa Romeo"
2020,10,0,Williams
2020,2,319,"Red Bull"
2020,9,3,"Haas F1 Team"
2021,1,614,Mercedes
2021,2,586,"Red Bull"
2021,4,275,McLaren
2021,3,324,Ferrari
2021,6,142,AlphaTauri
2021,7,77,"Aston Martin"
2021,9,13,"Alfa Romeo"
2021,5,155,"Alpine F1 Team"
2021,8,23,Williams
2021,10,0,"Haas F1 Team"
2022,2,554,Ferrari
2022,3,515,Mercedes
2022,8,37,"Haas F1 Team"
2022,6,55,"Alfa Romeo"
2022,4,173,"Alpine F1 Team"
2022,9,35,AlphaTauri
2022,7,55,"Aston Martin"
2022,10,8,Williams
2022,5,159,McLaren
2022,1,759,"Red Bull"
2023,1,860,"Red Bull"
2023,5,280,"Aston Martin"
2023,3,406,Ferrari
2023,2,409,Mercedes
2023,9,16,"Alfa Romeo"
2023,6,120,"Alpine F1 Team"
2023,7,28,Williams
2023,8,25,AlphaTauri
2023,10,12,"Haas F1 Team"
2023,4,302,McLaren
2024,3,589,"Red Bull"
2024,2,652,Ferrari
2024,4,468,Mercedes
2024,1,666,McLaren
2024,5,94,"Aston Martin"
2024,10,4,Sauber
2024,7,58,"Haas F1 Team"
2024,8,46,"RB F1 Team"
2024,9,17,Williams
2024,6,65,"Alpine F1 Team"
